(793 % 8388608,1 % 2)
(15602680075575662114694326597982782807723479060679155644462819004451694752941 % 221053134211826042150929967764680303033310564944473033175070329200110203957797322,1510 % 3021)
(15817478163903977767980975376846091852287724802294621751658698354885337897761 % 224443679963927498686114969667106212323846731571577458793749813810852484671223134,1511 % 3023)
(16035066282087981632600006598005844803497145844852389241755988953901721410769 % 227883936229356315144494696672092070791064069783544709935085847973823547363281250,1512 % 3025)
(16255478430008406001082300866683132929948381919652859997473827314266172947641 % 231374598247797722538500932223605594686971643772044092055779156387384246102392566,1513 % 3027)
(16478748993328324761865801866917950770332044071342867079023019295963025778741 % 234916370513220613399097587161709554569396102559475278614942456959953980870737978,1514 % 3029)
(16704912747524843831448693733438132074315716160617038747080271806902622189361 % 238509966890823738643125612291652254355052875831694140903358385252795441184008782,1515 % 3031)
(16934004861958942353936786651502135601086405373595754185622005359221437604441 % 242156110735381040441249677408604866793453467238512605037814509091806492114280274,1516 % 3033)
(17166060903983781665856967805812195717699853509507152876995377700465833705609 % 245855535011001919809913587798458562370079642435574660568465055060386657714843750,1517 % 3035)
(17401116843091801183058463728454258183591455538076911698497664633332746126781 % 249608982412322405441120204575097600393675461486286411644500694491840765042184106,1518 % 3037)
(17639209055100922534946279222181689156552776484382586880549341156042592982721 % 253417205487143359743796268689378697028459430887039988544298799781946880148978238,1519 % 3039)
(17880374326380185449163061920027062879835194663263559285295278680217940122081 % 257280966760532029215477355979955927735141149524193789701358615705702549584677442,1520 % 3041)
(18124649858115141077132164099709554282867949496977512069037241638716557967321 % 261201038860403419108681006059369925135047932739832573381244645151757211052237014,1521 % 3043)
(18372073270613330647570031039194438935282770076281439734041794360444991310149 % 265178204644598146918389162944202202540049362774444845571674674248695373535156250,1522 % 3045)
(18622682607650179541143239930273992404439592996053595263797638103567975008721 % 269213257329473605511432297711883945764014301596770281011905501621507262647840046,1523 % 3047)
(18876516340855639094856335439197925142943299871094034764229760323651446935401 % 273307000620025444761291451980591785221539376945914617183514366638746152318325298,1524 % 3049)
(19133613374141910669481618654264514840045597578767183097789292749271330130601 % 277460248841556560359083169229291592922028632515649545495624743685423400607455302,1525 % 3051)
